From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
x20E080;x688E79;sea;-1;3980;2908;3964;2903;;Ireland-Scotland
xD00000;x8CC57E;sea;-1;1371;2317;1381;2323;;None
xF0B481;x4070C0;sea;-1;2254;2102;2249;2097;;None
x20E000;x37518E;sea;-1;4065;3084;4025;3041;;None
x137263;x20E080;sea;-1;3995;2890;3995;2902;;None
x4040DF;xA67CC8;sea;-1;-1;-1;4468;2970;;None
xE041E0;x33CFEC;sea;-1;4583;3088;4591;3092;;None
xE04161;xE041E0;sea;-1;4560;3082;4583;3088;;None
x6040E0;x80A021;sea;-1;4621;3034;4633;3034;;None
xB78E54;x6060C0;sea;-1;4037;2741;4040;2777;;None
x60F080;x7D3FD7;sea;-1;4131;2449;4153;2463;;None
x405060;x4B79CA;sea;-1;4562;2428;4550;2460;;None
xA060DF;x168DF4;sea;-1;7652;2777;7670;2790;;None
x0170A0;xaaa21c;sea;-1;5367;2138;5363;2143;;Laristan
x958E99;x9F6BAC;sea;-1;6335;1758;6341;1758;;None
x217F68;xE5A4DA;sea;-1;6528;1746;6532;1750;;None
xA92B88;xF0B061;sea;-1;6607;1972;6607;1981;;None
xB0D080;x8ACAAA;sea;-1;-1;-1;6972;2329;;None
xF0D080;x70D080;sea;-1;7050;2177;7070;2223;;None
x438029;x21A090;sea;-1;4991;1378;4980;1382;;None
x606060;xecc061;sea;-1;2625;1936;2658;1930;;None
x89337A;x89334D;sea;-1;2666;1911;2688;1917;;None
x335389;x89334D;sea;-1;2680;1899;2687;1905;;None
x5299CA;x446c63;sea;-1;2706;1828;2702;1816;;None
xF0F001;x446c63;sea;-1;2695;1797;2701;1814;;None
xD496B1;x707080;sea;-1;-1;-1;2704;1757;;None
x446C63;x445B6C;sea;-1;2702;1815;2739;1813;;None
x543388;xE888D6;sea;-1;2769;2883;2767;2887;;None
x5E9DB3;x3020D0;sea;-1;2745;224;2749;223;;None
x290133;x871642;sea;-1;5470;3437;5479;3431;;None
x735843;xCD2826;sea;-1;5431;3453;5404;3472;;None
x019127;xE22563;sea;-1;4612;3458;4611;3452;;None
x80A2FD;x09E374;sea;-1;4500;3414;4503;3407;;None
x7F2EF1;xFEA2FF;sea;-1;4566;3449;4567;3438;;None
x7AAA5C;x80A021;sea;-1;4627;3027;4634;3028;;None
xF0345C;x646762;sea;-1;2950;1522;2945;1528;;None
x62BAA1;x0AF925;sea;-1;317;3081;338;3088;;None
x5F553A;x74BF34;sea;-1;4439;3390;4445;3387;;None
x6DD6EC;x101EFD;sea;-1;8178;3486;8163;3420;;None
x2F97B2;x6D86C4;sea;-1;5227;3403;5256;3377;;None
x7d205e;x7F4592;sea;-1;6945;1322;6950;1312;;None
xE9A095;x373813;sea;-1;2635;2752;2632;2768;;None
xD64E92;xD741B2;sea;-1;5704;3576;5705;3561;;None
x45DABC;xEFDF10;sea;-1;-1;-1;5633;3433;;None
x7D205E;x929145;sea;-1;6923;1320;6917;1323;;None
xE90740;x7d205e;sea;-1;6964;1330;6945;1323;;None
xA9C0EB;x6c9d8a;sea;-1;7207;1192;7192;1197;;None
x01BF32;xFA63AB;sea;-1;7080;1243;7086;1229;;None
x1D9B6B;x5847DC;sea;-1;2501;1781;2503;1769;;None
x63A92C;x4BF073;sea;-1;234;3185;316;3134;;None
x20E000;x0C1520;sea;-1;4029;3034;4025;3027;;None
x97b9e0;xB0F0E0;sea;-1;6851;1818;6856;1825;;Luzon
xB0F0B0;x6d44b5;sea;-1;6837;1788;6854;1797;;Luzon
x97B9E0;xB0F0E0;sea;-1;6850;1819;6856;1825;;None
x0a9ebc;x39dd3b;sea;-1;7065;1471;7078;1482;;None
x74B3F3;x607082;sea;-1;1100;2828;1095;2833;;None
x1C9894;x4D3C2E;sea;-1;5900;3563;5897;3541;;None
x326CF6;x425D9D;sea;-1;7225;2905;7212;2896;;None
x2A744A;x425D9D;sea;-1;7212;2907;7211;2896;;None
xF7DBB7;x6490D9;sea;-1;2528;2795;2523;2788;;None
x414325;x21A090;sea;-1;5003;1398;4993;1408;;None
xB5403E;x6090C0;sea;-1;499;2007;545;1966;;None
xEF4020;xD8550D;sea;-1;4305;2513;4306;2507;;None
xD19738;x7F0BF0;sea;-1;4387;2944;4379;2940;;None
xED2792;xC16C09;sea;-1;4353;2924;4339;2919;;None
xC16C09;x78B203;sea;-1;4324;2919;4313;2918;;None
x99B424;x8D6FA8;sea;-1;5915;1748;5921;1734;;None
xE04161;x45B6EF;sea;-1;4547;3078;4524;3074;;None
x3e101e;x7a3b01;sea;-1;-1;-1;1916;3512;;None
x59b5a5;xa5e93e;sea;-1;-1;-1;-1;-1;;None
x34b2eb;xf3698c;sea;-1;602;3001;580;3015;;None
x607082;xe040c0;sea;-1;1091;2852;1125;2863;;None
xe040c0;x32e810;sea;-1;1133;2858;1137;2863;;None
xc4f8be;x462445;sea;-1;1125;2878;1131;2882;;None
x908090;x900090;sea;-1;6826;1312;6809;1314;;None
x908090;x4cfce1;sea;-1;6829;1312;6829;1296;;None
xcf8a98;x699245;sea;-1;6915;1278;6908;1271;;None
xd690e0;xd0e090;sea;-1;5365;1023;5404;1039;;None
x6f75ed;xd9fca0;sea;-1;7315;3561;7317;3588;;None
xC01020;x805120;sea;-1;4455;2425;4447;2425;;None #Sicily
xbc6ed3;xa0b0c0;sea;-1;3971;2375;3973;2365;;Gibralter strait
xa25f8d;xb7f9f9;sea;-1;1079;2926;1085;2930;;Alaska
x0f65f5;x7a4dc8;sea;-1;-1;-1;-1;-1;;Sumatra
xa1341f;x91b001;sea;-1;6459;1512;6478;1510;;Sumatra
xe0a0f0;xd2d88c;sea;-1;-1;-1;-1;-1;;Sumatra
x9377df;xe0a0f0;sea;-1;-1;-1;-1;-1;;Sumatra
x01c030;x91b001;sea;-1;6505;1578;6478;1534;;Sumatra
x7d6d54;x0f65f5;sea;-1;-1;-1;-1;-1;;Sumatra
x60e050;x9a7e0b;sea;-1;-1;-1;-1;-1;;Aceh
x100090;x5aba94;sea;-1;-1;-1;-1;-1;;Bali
xd2799b;xf8fbac;sea;-1;-1;-1;-1;-1;;Eastern New Guinea
x61f645;x10c090;sea;-1;-1;-1;-1;-1;;Eastern New Guinea
x5779b1;x686a28;sea;-1;-1;-1;-1;-1;;Eastern New Guinea
xab408f;x10c090;sea;-1;-1;-1;-1;-1;;Eastern New Guinea
xb9e7df;x719040;sea;-1;-1;-1;-1;-1;;Eastern New Guinea
xaff001;x5a8abf;sea;-1;-1;-1;-1;-1;;Western New Guinea
xd3b54d;x39dd3b;sea;-1;-1;-1;-1;-1;;Western New Guinea
x5ba7c2;x5a7430;sea;-1;-1;-1;-1;-1;;Araucania
x706090;xcc30aa;sea;-1;-1;-1;-1;-1;;Araucania
xa8029d;x4cf080;sea;-1;-1;-1;-1;-1;;Araucania
x4cf080;x38ca10;sea;-1;-1;-1;-1;-1;;Araucania
x38ca10;x373f8e;sea;-1;-1;-1;-1;-1;;Araucania
x30e010;x7f712c;sea;-1;-1;-1;-1;-1;;Araucania
x5550b3;xb938ae;sea;-1;-1;-1;-1;-1;;Araucania
xd3a69b;xaf6607;sea;-1;-1;-1;-1;-1;;Araucania
xd986f1;x91b395;sea;-1;-1;-1;-1;-1;;Moluccas
xd3a69b;xaf6607;sea;-1;-1;-1;-1;-1;;Moluccas
x079110;xd986f1;sea;-1;-1;-1;-1;-1;;Moluccas
x7a7a6e;xb346eb;sea;-1;-1;-1;-1;-1;;Moluccas
xb346eb;x22a870;sea;-1;-1;-1;-1;-1;;Moluccas
x22a870;xd02fe9;sea;-1;-1;-1;-1;-1;;Moluccas
x7bd240;x7a4df4;sea;-1;-1;-1;-1;-1;;Moluccas
x11c030;x97975e;sea;-1;-1;-1;-1;-1;;Victoria
x97975e;x3be014;sea;-1;-1;-1;-1;-1;;Victoria
x904030;x114030;sea;-1;-1;-1;-1;-1;;Victoria
x114030;xba7909;sea;-1;-1;-1;-1;-1;;Victoria
xe5b909;xd0a0d0;sea;-1;-1;-1;-1;-1;;South Australia
xa1c4d2;x6a5dde;sea;-1;-1;-1;-1;-1;;South Island
xf3f2c9;xc3eb7d;sea;-1;-1;-1;-1;-1;;Cuba
x798c8e;x8e933e;sea;-1;-1;-1;-1;-1;;Newfoundland
x484a09;x70c040;sea;-1;-1;-1;-1;-1;;New Brusnwick
x46c8fa;x4fdcfa;canal_suez;-1;-1;-1;-1;-1;;Sinai Canal
x1fc9e5;x2bdefc;canal_panama;-1;-1;-1;-1;-1;;Panama Canal
x706060;x708c99;sea;-1;4921;2618;4938;2618;;Crimea/Kuban
xA090C0;xBC2AFE;sea;-1;-1;-1;-1;-1;;Hokkaido/Tohoku
xCAFE73;x90f80a;sea;-1;-1;-1;-1;-1;;
x05FD19;x31F0E0;sea;-1;-1;-1;-1;-1;;
x6D44B5;x8001F0;sea;-1;-1;-1;-1;-1;;
x8001F0;xE2086C;sea;-1;-1;-1;-1;-1;;
